content,score
Masalah akun CS nya di chat gak bales' berhari',1
Give the character named easyfour good luck ;),5
"Untuk akun lama yang login lewat FB, sekarang gk bisa login lagi error Mulu, mau main dari awal males",1
"Semua map,pet, item,monster, tanaman dll semuanya loading, tolong diperbaiki masalah loading nya",3
"game nya bagus saya udah maen dari taon awal rilis dan sekarang saya maen lgi dengan akun saya yang dulu,tapi saya ada dapat satu gangguan dan ini untuk kedua kli nya saya sudah carik tau di semua situs tapi tidak dapat jawaban atas bug Suara atau musik di game cimeraland ini,saya belom tau pasti ini bug atau apa,tapi saya rasa cuman saya yang ngalamin hal ini,saya mendengar suara org nangis pas taon kemarin,dan pas di taun ini suara org nyanyi lgu Chinese,tolong kasi tau saya developer game cm",5
Good game,5
Ini update yg menururt saya berkesan dari chimeraland....namun saya mengalami beberapa bug seperti bar HP milik beberapa makhluk seperti bone dragon dan mantis tidak terlihat🙏🏻,5
Nice game...dunia di dalam game yg luas...nice...,5
apakah game ini bisa multiplayer?,3
Sumpah bagus banget tapi sedikit leg tapi gk pp lah,5
"Nice game and great game, but have a lot bug. Mic plz fix",1
"kalo anda suka Digimon, game ini pilihan yg tepat,karna bisa berevolusiin monster dan bisa punya monster lebih dari 1,yg menarik lagi,kita sebagai player juga bisa ikut bertarung,bukan cuma ngasih komando ke monster kita",5
Pesan suara tidak bisa menyala tolong perbaiki,3
game nya seru banget aku aja yg gkterlalu suka maen game tapi kali ini sering maen game karna game ini,5
"Perbaiki masalah jaringan jaringan bagus ping hijau gak bisa bergerak, game bagus grafik bagus cuma minus jaringan perbaiki lagi masalah jaringan percuma grafis elit jaringan sulit hedeehh...",1
"Main ulang, penasaran ada apa aja, karna udah lama nggak main",5
"Game nya seru , tapi kalau bisa ada auto mining dan logging jadi si karakter nebang sama mining auto sendiri , thnx",5
"Saran:kasih animasi saat panggil pet ,kayak manggil pet darat keluar nya dari tanah,yang udara ada portal nya saat keluar pet nya",5
Mohon maaf izin memberikan saran masalah jaringan yang sekarang semakin parah.. Padahal saya menggunakan wifi.. Mohon untuk segera diperbaiki.. Terimakasih,3
Akun saya kok ilang ya,1
gamenya keren,5
Ini sangat bagus,5
akhirnya servernya sudah kembali normal.. ga lag lg..mulus.,5
Fps sangat rendah jadi tidak nyaman bermain,1
Makasih developer... Sekarang game ini udah menjadi game favorit setelah update ping sama garafik yang di udah di sesuaikan menurut hp masing masing....,5
Bagus gamenya,5
"Makin berat aja, mending grafiknya d turun aja dah",3
"Thank to my friend : Energench0co, Akang gemis, Abigail ,Ks02 ,Acil jikra, Bocilkemtian, Belinda, Kasandra ,Topson ,Ks02 ,Pumkin, TheDevilOne. Thanks chimeraland , IM quit.",5
Voice chat kapan diperbaiki bgsd,1
Tolong ya knpa saya server galat trus mohon dev perbaikanya udh 2 kali sampai harus hapus data karna server galat,3
Tes dulu di ram 4 mtek hellio 700an,3
Akun ilang,1
Hari ini tanggal 14 Okt 2024 kenapa tidak bisa log in? Terjadi erorr.,5
"Tidak bisa masuk game, server eror , sad",1
Banyak bug. Server sering eror Pantesan sepi,1
Fsfa,5
Nyoba lagi ...,5
Mantap chimeraland udah banyak perkembangan. Mulai dari jaringan sudah normal ping tidak merah lagi sudah hijau terus. Lalu di graphic sudah menyesuaikan device. Map baru yang buat seru bagi pemain lama,5
Bagus,5
Ini maksudnya gimana? Kostum q kok beberapa ada yang hilang? Yg red tier lagi.. Dikira beli pake daun ta?,1
Game bodo,1
Lag parah di hp ram 6,1
Mau main kok cuman memulai game terus. Gimana ini tolong di perbaiki,1
Gamenya bagus sih tapi bug nya ngeselin,1
"bagus fitur lengkap, cuma bugnya tolong di kurangi",5
"Saya sudah pensi, hp ram 4gb Oppo f7, setting low masih berat",5
okay,5
"Udah setahun nggak main, kangen pengen main, pas main lagi udah pada sepi, next mungkin ada chimeraland 2 🥲",5
Apakah game nya masih rame,5
Update nya makin kacaw...Sinyal Lost Mulu jemboet,1
TIDAK BISA MASUK KE DALAM GAME TOLONG DI PERBAIKI 😢,3
Comeback,5
Banyak bug dan kekurangan yg lain!!!,1
Tolong buat event seperti dulu biar game nya tidak monoton,5
Mantap banget memorinya...🦆,5
Ini game bagus bro,5
Update kok harus download 7Gb data lagi,1
Tolong bug voice diperbaiki dev. Saya capek harus mengetik sepanjang masa.,5
"Masa iya semalem kelar download udah bisa main,skrng malah update terus disuruh download ulang 7 GB lagi,yg bener aja",1
Bug,1
game apaaan masuk game aja gk bisa server belum buka gimana coba,1
"Gamenya sih bagus, tapi bikin emosi 😊",5
Game bagus,5
Belajar lah bahasa Indonesia agar bisa menjawab pertanyaan atau keluhan dari para pemain yg berada di negara Indonesia,5
Cara nyelesain misi ke kota utama gimana dah,1
"Well,, setengah jam bikin wajah karakter yang bagus, hilang karena tidak bisa memilih nama, nama acak harusnya nama yang tidak pernah digunakan, ga cuma itu, game ini juga ga bisa isi nama sesuai keinginan sendiri, keyboardnya gak muncul. Maksud kalian apa coba?? Udah download hampir 10 gb lho yaa..",1
"Moga rame lah, makin lama makin sepy server nya dan tolong developer perbanyak fitur, event (　-̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥᷄◞ω◟-̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥̥᷅ )",5
Game nya burik karena saya belum install,1
Untuk diriku masa depan jgn download lagi masih banyak bug untuk game sebesar 8gb lebih,1
Baru main tutorial main city.. Eh main city nya ga ada.. Katanya main city semua fraksi rusak.. Gimana nib tutorial gak bisa diselesain misinya,1
Asw bug nyusahin,3
Mohon dengan sangat diperbaiki system nya lagi kanapa saya masuk login hanya tulisan aja untuk gambarnya semuanya hitam tolong ditingkatkan lagi... Jika sudah diperbaiki saya kasih bintang 5,1
"Saya belum mencobanya,jadi saya kasih 5 dulu,kalo keren ga saya ganti hehe",5
Game open world yang bagu tapi sayang setelah update kemarin map nya banyak bug.tolong diperbaiki ya min,5
"Please Fix BUG don't only update gacha skin, every player have that problem",1
Developer mengapa update terbaru ini terdapat banyak bug? Dan satu lagi mungkin jika anda menambahkan event kolaborasi akan membuat game ini berkembang lagi banyak sekali player pensi karena bosan dan saya selalu melihat rumah yang berlumut tak berpenghuni sekian mohon update selanjutnya developer yang lebih bagus 🙏🙏🙏🙏,3
Mantap,5
Buriq,1
"I lost my account after the update, more precisely my character is not found on my server when logging in with the Gmail that I usually play with, can you guys help?",1
Game bagus,5
Player² yg ga bersalah kena ban.. tutup aja game nya pak. Asli mending tutup aja kalian.,1
Game nya keren banget sih tapi ada ngelag tapi gpp aku tetap suka,5
To much bug in teleport system where you teleport to the main city it will teleport into somewhere bug place,3
Tolong saya mau membeli amber dengan saldo google play amerika tetapi tidak bisa,1
Gamenya bagus banget gua suka,5
Please jangan sampai tutup,5
"Sayang game bagus tpi byk bug, event non gacha sedikit, update bkn nya nambah bagus malah nambah monoton, tolong serius urus game nya klo tidak mau jadi Death Game.",5
"Dead game, udah g pernah update event baru",1
Mari kita ramaikan lagi chimeraland...duh kangen berburu lagi...,5
ini game yg paling best pokoknya hahahha,5
tolong di tambahkan bahasa indonesia don.,5
Dead game,1
The data size is too large !!!!,1
"Revamp skill lava blazewyrm please ,, agar tidak mengurangi hp nya",5
Game paling mantap yg pernah aku mainkan tolonglah jangan tutup dulu... .,5
"Keren sih gamenya monster nya gede gede, tapi susah kalau mau nyari skill pet + attendan",5
Babi,5
Saran aku c kalo pemula mending gak usah main kalo gak beli akun cp tinggi player Indonya banyak yg caper mending di server china malah Indo enak²,1
Dan tolong ada bug monster nya malah masuk ke rumah aku dan gabisa keluar dan akhirnya pindah rumah,3
Load screen sangat lamban,3
"Game ini bagus cuma jadi terlalu monoton yang gitu² aja,coba tambahin fitur biar bisa bucin² gitu ada pasangan nya biar makin rame kaya undawn, terus struktur rumah juga aga banyakin dong udah lvl max tapi mau biki kreasi jadi susah karena terbatas sama struktur² juga banyakin, kaya tempat masaknya jgn Segede gaban begitu yg realistis² aja coba rubah konsepnya pasti lebih rame ni game, semoga di pertimbangkan saran² nya thank...🙏🙏🙏",5
BAD GAME SO MANY HAVE BUG!!!,1
Sangat memuaskan,5
Game nya berat bgt,1
game enk tpi kurang ny bnyk bug ny,3
Terimakasih tim chimeraland akun saya sudah kembali aktif,5
Jaringan lag cuma di game ini,1
Sudah bagus tapi masalah jaringan ajah yang rasanya blm pernah di fix ngelag trus saya padahal menggunakan wifi dan masih ajah suka dlay,5
"Bermain Untuk Senang. Ya walaupun agak kecewa Karna micnya gk bisa, mauku kasih bintang 1 tapi nanti drop,oleh karna itu jangan kalian kasih bintang 1 tapi bintang 5 😞 walaupun bugnya gk di perbaiki",5
add fitur ranked or turnamen pvp weekly for leaderboard in encounter,5
"Tolong perbaiki beberapa bug yang ada, dan controlnya tolong di benerin agak susah dikendalikan apalagi saat fight",5
Game yang sangat mantap,5
"Suka ama ni game, tapi minimal adain event lah, ini mh updt fix bug malah nambah banyak bugnya, pdhl bagus gamenya.",3
"Terlalu overaktif, bug game dianggap Cheat, dibeberapa game bug akan diperbaiki bukan malah Ban playernya yang sudah ngebantu mencari bug-bug yang tersembunyi dan juga spend banyak, ah sudahlah.",5
"Dev bedakan dong setiap pet Evo Noble dan ILLUSTRIOUS/ DEOBEST itu, yakali giliran Murali/ Yayu Noble dan Deo nya gak ada beda, sama-sama bisa interact 😭😭😭, Buat Murah aja harga Deo kalau gitu😭😭😭.",5
Jelek,1
Game sangat bagus... Sayangnya terlalu monoton... Hingga banyak teman saya yang berhenti memainkan... #BosanMainSendiri,5
Karna akun dah balik gua rate 5 lagi...semoga makin berkembang,5
I like this game❤️,5
sep,5
Bug Game. Resiko banned massal,1
Baru download lagi knapa malah grafik nya jadi jelek dan banyak lag,1
"Game nya bagus banget. Cuman ya itu, Saking bagusnya kesalahan DEV nya sendiri player nya di ban"" in.. Wellcome to DEATH GAME.",1
"Kesalahan develover malah player yg kena imbas, banyak player yg aktif di ban karena bug dari developernya sendiri, kalo gk ngurusin gamenya, mending tutup aja, keluh kesah gk di gubris ya buat apa",1
Bug dr siapa yg kena siapa,1
Over bagus cuma ada sedikit bug gk bisa ambil drop dan saran ajah bikin animasi buat menarik player lain,5
Bagus,5
"Dah nungguin sampe 100% malah ngeriset lagi,trus di suruh hapus apk lagi",1
"Best game crafting and open world in mobile, please don't close SEA server .This my favorite game 😍",5
Admin yg terhormat tolong di perbaiki bug question nya saya coba di hp lain tetap ada bug di question juga namun berbeda misi tolong di hilangkan bu nya supaya bisa misi aku admin!,5
Bagus banget. Tidak ada kendala. Tolong di tingkatkan lagi,5
"Menurut saya dari beberapa bulan hanya ada beberapa event dan sekarang semakin dikit event dak event nya sama terus menerus , semoga devoloper bisa menambahkan event yg lebih banyak dan untuk hp nya yang gak kuat menurut saya game ini lumayan berat jadi developer tolong kurangin objek yg berbentuk seperti pixel pixel kecil karena bisa membuat hp patah patah",3
Dah lah percuma gak di gubris keluh kesah player yg ngasih masukan,1
Sip mantap udah dibenerin bugnya 😁,5
"tolong permudah mendapatkan matury pill ,dan permudah untuk memulihkan life span attendan ,,,",3
Ntaps,5
"Saran utk next update telur (semua telur)&temp (semua temp) bisa ditmpuk saat mnyimpn baik pnyimpann yg kita bawa/pnyimpnn di rumah seperti material yg bisa ditumpuk sampai 999, ditumpuk sampai 50/100 juga gpp tdk usah sampai 999. Mungkin kalau player yg berduit/sultan mdh nambh lemari pnyimpann rumah TAPI bagaimana kalau player yg gratisan seperti saya? Bnyk barang penting yg harus disimpan (menurut saya).",5
Tolong developer perbaiki sinyalnya,3
