,id_hasil_model,id_review,nama,tanggal,review,label
0,13,13,User1,2023-12-04,Aplikasi ini sangat membantu dan mudah digunakan.,1
1,14,14,User2,2023-12-04,Website ini memberikan pengalaman yang luar biasa.,1
2,15,15,User3,2023-12-04,Saya sangat puas dengan fitur-fitur yang disediakan.,1
3,16,16,User4,2023-12-04,Layanan pelanggan yang ramah dan responsif.,1
4,17,17,User5,2023-12-04,Aplikasi ini membuat hidup saya lebih mudah dan efisien.,1
5,18,18,User6,2023-12-04,"Banyak bug pada aplikasi, membuat pengalaman buruk.",0
6,19,19,User7,2023-12-04,Navigasi website sangat membingungkan dan lambat.,0
7,20,20,User8,2023-12-04,Fitur-fitur yang ditawarkan kurang memuaskan.,0
8,21,21,User9,2023-12-04,Aplikasi sering crash dan tidak stabil.,0
9,22,22,User10,2023-12-04,Pelayanan pelanggan sangat buruk dan tidak responsif.,0
10,23,23,User11,2023-12-04,Saya merasa biasa saja dengan aplikasi ini.,-1
11,24,24,User12,2023-12-04,Website ini memiliki kelebihan dan kekurangan masing-masing.,-1
12,25,25,User13,2023-12-04,Tidak terlalu terkesan dengan fitur-fitur yang disediakan.,-1
13,26,26,User14,2023-12-04,Penggunaan aplikasi ini standar saja.,-1
14,27,27,User15,2023-12-04,Tidak ada yang istimewa dari website ini.,-1
15,28,28,User16,2023-12-05,Aplikasi ini Sangat Berguna dan sangat responsif,-1
16,29,29,Saya,2023-12-09,ulasan bebas bagus,5
17,30,30,test,2023-12-09,ulasan bebas bagus,5
18,31,31,hay,2023-12-09,ulasan bebas bagus sekali,5
19,32,33,idham,2023-12-29,aplikasi ini bagus,-1
20,33,34,idham,2023-12-29,aplikasi ini bagus sekali,-1
21,34,35,idham,2023-12-29,aplikasi ini keren sekali banggg,5
22,35,38,idham,2023-12-30,keren,5
23,36,38,idham,2023-12-30,keren,5
24,37,38,idham,2023-12-30,keren,5
25,38,39,idham,2023-12-30,keren sekali,5
26,39,40,idham,2023-12-30,keren sekali hahaha,5
27,40,41,idham,2023-12-30,aplikasinya keren,5
28,41,42,orang,2023-12-30,To much bug in teleport system where you teleport to the main city it will teleport into somewhere bug place,5
29,42,43,orang,2023-12-30,"Suka ama ni game, tapi minimal adain event lah, ini mh updt fix bug malah nambah banyak bugnya, pdhl bagus gamenya.",5
30,43,44,orang,2023-12-30,jelek,1
31,44,45,orang23,2023-12-30,aplikasinya buruk sekali,1
32,45,46,orang23ds,2023-12-30,tolong aplikasinya diperbaiki,5
33,46,47,orang23dsgyf,2023-12-30,keren aplikasinya,3
34,47,48,orang2yt7,2023-12-30,keren aplikasinya,3
